vault,user,amount
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x609076BbA6f0a303a5Cac58e900C8ac611cb15b5,8000000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x617Cf05445f9750264498ed4Ea4FAeda19654e66,5552630000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x721E6409Be04DD42463a36e5c9C95b3BD1feC8A4,33705000000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0xE84915FD6079E1A4449dD827a660d1D6237555eF,10561089000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x1c956943024dD561ad820a75aC374922d21dbCDa,448554501
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0xF5Ba0bF65011C446e4ED0cDEF94d99cf44C4Cdd8,2000000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0xdb30bAbBEE95978c178E9BAf56334A019d7959FE,4381047000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0xb54547783439dd2164bA1dE3b4281B446B3cEa12,19856310000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0xec39E27beD0d40C5BFDD8203665C0e85F18E11Fb,1014370000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0xf4A43B3D0EACdf87521E22373d2aaAf9B3143ef3,49797760000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x25e6550B87Dc7B3EBDC370bf8FE4D1ba6a896C91,8051000000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x555187752Ef6d73758862B5d364AAB362c996d0e,3000144759454
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0xff1A1AA3f81986CE934F42BE48488a6FDDB38874,999450000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0xFE9bb11B3179cf06C197Cc7b626b3c1bbC67501F,1001940000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x09DceCb2D6917B90DAdC770C45D94febDB43eeFd,5017250000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x9b3b32a620f757d243cdd1098Ece4883c532f188,275001000630
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x813f37C3C4592D1aaa91d9d41751431F5E2B3ccF,60000000000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x50619098D7DDD7A12b38E9CA8203B981c17eb7eD,97476350000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x7155ea2cFFac51a4D419b4709375FE78d8E15991,250000000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0xbdE30e219d605E202237564c6D93FA5171788bdc,2500000000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0xbFe749858ff120D29F7Cd15Fd469d586A351d127,9771100001
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x43c6a94A6C1Cf6A5510E57B4AC62eEF092ab545A,1039415688
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x310aA34C5B034c5c999fff2A00dF1A291fa572Ec,9013005304
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x266eE152cf011964aa4399bB568709199Da82063,510300000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x50f2d8dA7f0349bE9de72FBbd1Bf1fC87E4A2B8b,346520000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x15F975952471083794791F0e0C819E6594bC5345,77861300000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x6A4c0FC1A925918BBecc15266f2b305431Ccb4d4,10036679
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x2cE1ddBDCCcbCdf0BB40822cB3D71C55b74fC0a5,16463018000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0xFd5De2096172150F3443FC2e398CBb0788471D7d,68490000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0xFBd60D98278d91c3C3ae78cBe4Ebe3E8D37C417B,1005000000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0xe43A763f6eEf200CC09462D324452F3affc16148,3045000000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x6be99217c86D8Fb15C8284781f84793abA668966,1609250000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x4B799837481112836188cA409D9A73cc69d7Be44,5009720000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0xb0725E0d31e032Dd3B0447c5C591E27E82eE72cA,347820000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x544f96434f77437425d5aC40fd4755C0cf39399A,10849100000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x57cDCFA22c0C530E5CfE3D70C664c48f53E2952c,1150436372
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0xd97d2Cf803E5261e1DC0273faE48328Be2EA1242,2138854621
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0xEF923434ee92F650088D4cF43074e295C6F1B9e2,1759190000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x952B869B84d45821F31667771BE7E8C51D7d0316,200410000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0xC9B7411fd802BDfA055cFD469D1aeCAc2Ac64394,1025007000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x1c19ab17D46f46a166d7e0E1c5624c9Af7712C4f,1985565746
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x324F67Ec2073a74d41500903931Bd25381A61655,12682056
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x643bB72735E4912bD1A194A1C1517A5DcEDbBfa8,13500000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x34Cf1aB86504A8DF2600E355E5810a78852F00E4,250187390000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x933Ae5bCeD5a7864f5339FA6b48dd4E30aa865Eb,304012017
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x7777cd9290E7Cf466BaFe3E762993977192D1377,50000000000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x60Bc5323C0E0e9144Af0B35CE8de119fC743e345,91094000
0x7B5A0182E400b241b317e781a4e9dEdFc1429822,0x2FA4A7E45cCbb2aF3391874127a86Bd314647334,36653510000
