asset,address,amount
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x1b5f15DCb82d25f91c65b53CEe151E8b9fBdD271,8294477
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1b5f15DCb82d25f91c65b53CEe151E8b9fBdD271,10000000000000000
0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61f8AEc9d5a9159D2B82A8ae84C38dA489bbb731,150000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x4580559314cbBd84B595a6EC52e4dF5cdD54EFc4,150000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xF82870f1A8D6F0aB966E560a6e7bFCDCac68C3d5,150000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xDB62C322B17a2C3bf51775Be039e7E3b93553396,5250000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x43d55ec178e0a7561FCf7169F35fb36b044AB107,283359969170435392
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xf640b638D02014a8E674A807B706ef878d3Cb62b,2183850000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x8Aa977BC7ADAa8aE5bb4812BF8048625c9AC68A6,283359969170435392
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xdb6C18087cB71164f9B47981d684E68C697b319e,9900000000
0xdAC17F958D2ee523a2206206994597C13D831ec7,0x14b63543506f0a40954dbdD1E362eb7a69B1f3d7,600000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xFb5E8a587733E1a8700E1d448F97A12BAb4AD4eA,56680559701633536
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5549Efa31AD2433A4E96A39E1360FCadB686bE45,750000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x2160404dfB0Fe854c48FfC1a9252436870C9AC94,1200000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x4580559314cbBd84B595a6EC52e4dF5cdD54EFc4,750000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xB3e3984BFd8427bcEf4F29d91d093804f22b0d65,56680559701633536
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x43d55ec178e0a7561FCf7169F35fb36b044AB107,283165259020701280
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x4580559314cbBd84B595a6EC52e4dF5cdD54EFc4,150000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x14adcE4E33638c3ef623185FDa1aD958A3464f61,56633051804140248
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd42Aa370fCD06C683b7154FfA799A8e00AC0121E,113361119403267072
0xdAC17F958D2ee523a2206206994597C13D831ec7,0x625A92D80af77dCAB70323fC4668d9B90862CF55,150000000
0xdAC17F958D2ee523a2206206994597C13D831ec7,0x1c956943024dD561ad820a75aC374922d21dbCDa,3150000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x735D82176A8F35a7d63098769C10017b31D74395,1500000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1023b4fF494D49626D8485FC29c224e5b8B82a17,566330518041402560
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xB3e3984BFd8427bcEf4F29d91d093804f22b0d65,57201911306529792
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xCD60bC4596846Db96140c416C60222Bfd6d758D1,49950000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xCBca678C5DE7de4F3Faae3B4376Cf9169ba9753E,57201911306529792
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x735D82176A8F35a7d63098769C10017b31D74395,1500000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x70548dC910e530B5134407c41d57d397a499435C,150000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x06F455e2C297a4Ae015191FA7A4A11C77c5b1b7c,57201911306529792
0xdAC17F958D2ee523a2206206994597C13D831ec7,0x8D6A864Cb7E75Eb4996306d42548681A115248C5,249900000000
0xdAC17F958D2ee523a2206206994597C13D831ec7,0x739579406156648512b7029291c1aaBdDD95Bb29,14550000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x735D82176A8F35a7d63098769C10017b31D74395,1500000000
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x625A92D80af77dCAB70323fC4668d9B90862CF55,559468
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xA492443B917EBDeB3bE73bd36deeE138feF7f039,285927778455532512
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x27C5BeD2CA6096C611C72BF0B4C8109Eeec1fA4F,285927778455532512
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x606081b530b65d7A11908500CAF5fC7Cdb81A294,57185555691106504
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x06F455e2C297a4Ae015191FA7A4A11C77c5b1b7c,57185555691106504
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x06F0153F3aBeE157cf34b964F6d0994D372647B0,57185555691106504
0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf21092CeC7dF3f794FD2BF348631A4AefFD16fE0,900000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x4233c52E283143Eee66E83925847B05D1f34E39D,57052225607320944
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x791e35Da7E54d3675b734e53b9827Dc8De37da39,150000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x4f7D469a5237bD5fEaE5a3D852eeA4b65E06AAd1,8700000000
0xdAC17F958D2ee523a2206206994597C13D831ec7,0x86E9DcffE88f45989C5468Ae4E76e42D7a7b6916,150000000
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x1563EcdD459055BDb23Dba1da7cd46BE0bA7DB17,1118576
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xDFED57734B16b26E21C741Ae97d29f8dFe7D4876,114104451214641888
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd42Aa370fCD06C683b7154FfA799A8e00AC0121E,856190447197783808
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x4f7D469a5237bD5fEaE5a3D852eeA4b65E06AAd1,1997777710128162304
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1563EcdD459055BDb23Dba1da7cd46BE0bA7DB17,1426984078662972928
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x4e3D9399C28c724293dd545225Ec843Ac4c9e953,57079363146518920
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x3B525CAD1C9c27b5152d57dC65f8EaaA1d973168,978754
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x03DFF61eF1aaB8039E54bddeBfb17c415E97Ac84,150000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x66Da63B03feCA7Dd44a5bB023BB3645D3252Fa32,750000000
