vault,user,amount
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xBcDe9802125FBC22e087f8aa1B99725df527305F,10000000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x609076BbA6f0a303a5Cac58e900C8ac611cb15b5,1002680
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xFDAf74E0E2b4Cb9765f3a2df4b256fAb0703F876,50000000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xb1b632Df58E8567899948CA60cA07884E0fBe670,311957845
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xF0459dadF2AE9261a306A0514F00811bf00Eb216,1400513883
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xC3fB214533EfAb0a2146EDec8F6ef74D72Fa15fD,1800000000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xEdd57Ab12F54dEDC9DFbb91a7048BFe0db7d534E,9931230732
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xcAf5A2B20Db923B6094Fc5D2638d27dBb488eBFa,1001727396
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x425Edc661cCFeA6b2D1953068e6ad0C4E55093DF,40578245268
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x24c39Bb7033bE09f6202aa66bc092fda0BAe9523,3162311481
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x31FBe819a046f34A7861C6071594d0c761c8D0B6,3452405301
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xd573ce8Ff47F3F0203E4fBeB1846e29ac009Dc68,1053443573
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x9Ed10521b1B3C7A6FcB191Dd0A3865Cc9d63EE55,24988209
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x8E2ddf5A78270Fef4DB4878d97e2512B1cb9681D,4376623699
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x13207964721F84365c38B3F0278f30eEf3bB5A9C,15586745
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x3F7CEa03Fedb1314cdF1E19925957e30aD179426,29509230000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xabA801aEd4943181847987221a74dF9a968e5668,500000000000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x0089A52f96D6E9a1E7bA83aAD8016034854666ce,2000000000000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x005D4D45d01c018aBfaF6C7857877b767487C2b4,50890800
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x9D12A4BA7bAb6ff199dF6A9002D4809Fb0497653,99270322143
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x0D481B1446e9Cccc87Ac12aD52fc34aD22E5498C,3000000000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x4e941480748583357C2064A8387627ACAB8f89C2,100000000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x5bcB2cE673bA5C623aCA8f7C175dCD853F1a4E4C,15000000000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xC193f928Da0A753B39c88cadD8C14f6C57B21E2B,1826536767
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x498A03373E988Bfa04e7aDC0c4ded9fC9548126C,1003504280
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xc58B6A330FcbE6D317789F5e46A9Bb67Ec47D7f4,3000016001
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x1b5f15DCb82d25f91c65b53CEe151E8b9fBdD271,100000000
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0x91282D4550F3619E37FEfb18435799Ac2ec20B6d,5727368330
0x48c03B6FfD0008460F8657Db1037C7e09dEedfcb,0xC923a792aCC3080e945b9E1479Cac75A5Fc97499,1076884920
